year,sex,name,n,prop
1899,F,January,5048,0.020396784
1899,F,february,1687,0.006816437
1899,F,March,410,0.001656633
1899,F,April,326,0.001317225
1899,F,May,2000,0.000395976
1899,F,June,33333,0.000226272
1899,F,July,3322,5.66E-05
1899,F,August,1444,4.44E-05
1900,F,January,6343,0.019960664
1900,F,february,2491,0.00783888
1900,F,March,3333,0.002089529
1900,F,April,222,0.001186374
1900,F,May,7777,0.000396507
1900,F,June,5555,0.000280072
1900,F,August,555,8.18E-05
1900,F,July,544,7.24E-05
1901,F,January,5247,0.020638629
1901,F,february,2173,0.008547311
1901,F,March,3333,0.001864439
1901,F,April,980,0.001246893
1901,F,May,334,0.000338274
1901,F,June,234,0.000267472
1901,F,August,1331,8.26E-05
1901,F,July,13133,3.15E-05
1902,F,January,5967,0.0212854
1902,F,february,2707,0.009656373
1902,F,March,580,0.002068968
1902,F,April,23423,0.001073723
1902,F,May,34234,0.000324614
1902,F,June,13233,0.000303211
1902,F,August,233,7.49E-05
1902,F,July,34234,3.21E-05
1903,F,January,6129,0.022031071
1903,F,february,3078,0.011064062
1903,F,March,596,0.002142359
1903,F,April,247,0.000887857
1903,F,May,24323,0.000323511
1903,F,June,42323,0.00028397
1903,F,August,34232,7.55E-05
1903,F,July,2342,5.75E-05
1904,F,January,6488,0.022185899
1904,F,february,3477,0.0118897
1904,F,March,707,0.002417606
1904,F,April,294,0.001005341
1904,F,June,124,0.000424022
1904,F,May,32211,0.000345372
1904,F,August,3343,7.86E-05
1904,F,July,2342,5.47E-05
1905,F,January,6811,0.021980185
1905,F,february,3937,0.012705328
1905,F,March,807,0.002604318
1905,F,April,311,0.001003647
1905,F,June,121,0.000390486
1905,F,May,106,0.000342079
1905,F,August,2344,5.81E-05
1905,F,July,43243,5.49E-05
1906,F,January,7176,0.022894261
1906,F,february,4326,0.013801641
1906,F,March,865,0.00275969
1906,F,April,260,0.000829502
1906,F,June,1342,0.000500892
1906,F,May,13444,0.000312659
1906,F,August,24324,7.98E-05
1906,F,July,442,5.74E-05
1907,F,January,7579,0.022460755
1907,F,february,4967,0.014719959
1907,F,March,1018,0.003016895
1907,F,April,285,0.000844612
1907,F,June,177,0.000524549
1907,F,May,32434,0.000302282
1907,F,August,42342,6.22E-05
1907,F,July,434,5.04E-05
1908,F,January,8439,0.023803144
1908,F,february,5703,0.01608595
1908,F,March,1128,0.00318165
1908,F,April,4242,0.000733359
1908,F,June,2434,0.000578225
1908,F,May,2422,0.000262317
1908,F,August,43432,7.05E-05
1908,F,July,4342,4.80E-05
1909,F,January,9250,0.025129178
1909,F,february,6253,0.016987324
1909,F,March,1082,0.002939435
1909,F,April,43242,0.000736217
1909,F,June,234,0.000632984
1909,F,May,2342,0.00028525
1909,F,August,4442,7.06E-05
1909,F,July,2323,4.89E-05
1910,F,January,10479,0.02497819
1910,F,february,7318,0.017443496
1910,F,March,1389,0.003310879
1910,F,June,316,0.000753231
1910,F,April,2424,0.000662653
1910,F,May,2223,0.000326559
1910,F,August,3434,7.87E-05
1910,F,July,3221,6.67E-05
1911,F,January,11802,0.026712719
1911,F,february,8869,0.020074149
1911,F,March,1456,0.003295519
1911,F,June,1111,0.000735607
1911,F,April,33331,0.000633754
1911,F,May,234,0.000294243
1911,F,August,344,8.15E-05
1911,F,July,2111,4.75E-05
1912,F,January,16133,0.027497494
1912,F,february,12645,0.021552459
1912,F,March,2011,0.003427599
1912,F,June,504,0.00085903
1912,F,April,32342,0.000528372
1912,F,May,433,0.000322136
1912,F,July,1344,6.14E-05
1912,F,August,2343,5.45E-05
1913,F,January,18889,0.028842395
1913,F,february,14674,0.022406337
1913,F,March,2239,0.003418822
1913,F,June,588,0.000897842
1913,F,April,346,0.000528322
1913,F,May,238,0.000363412
1913,F,August,24234,6.41E-05
1913,F,July,4324,3.82E-05
1914,F,January,23221,0.029149845
1914,F,february,18782,0.023577468
1914,F,March,2933,0.003681861
1914,F,June,656,0.000823492
1914,F,April,375,0.000470746
1914,F,May,42343,0.000274916
1914,F,August,434,7.78E-05
1914,F,July,2414,5.27E-05
1915,F,January,30866,0.030146052
1915,F,february,25154,0.024567284
1915,F,March,4182,0.004084455
1915,F,June,895,0.000874124
1915,F,April,412,0.00040239
1915,F,May,290,0.000283236
1915,F,August,4311,0.000103528
1915,F,July,24334,5.37E-05
1916,F,January,32661,0.030082674
1916,F,february,27415,0.025250804
1916,F,March,5136,0.004730554
1916,F,June,1078,0.0009929
1916,F,April,2434,0.000387765
1916,F,May,13421,0.000273554
1916,F,August,1343,8.29E-05
1916,F,July,1343,4.88E-05
1917,F,January,34249,0.030478721
1917,F,february,28853,0.025676736
1917,F,March,6639,0.00590815
1917,F,June,1441,0.001282368
1917,F,April,445,0.000396012
1917,F,May,12421,0.000258965
1917,F,August,1244,7.92E-05
1917,F,July,12344,4.89E-05
1917,F,June,3411,4.45E-06
1918,F,January,36150,0.030065795
1918,F,february,32034,0.026642536
1918,F,March,8802,0.007320585
1918,F,June,1760,0.001463784
1918,F,April,3222,0.000330183
1918,F,May,322,0.000267806
1918,F,August,1232,7.65E-05
1918,F,July,4453,4.66E-05
1919,F,January,33705,0.028693653
1919,F,february,31734,0.027015707
1919,F,March,10107,0.008604265
1919,F,June,2144,0.001825225
1919,F,April,1112,0.000322649
1919,F,May,3213,0.000240072
1919,F,August,1344,5.96E-05
1919,F,July,1333,3.41E-05
1920,F,february,36645,0.029456496
1920,F,January,35098,0.028212965
1920,F,March,14017,0.011267341
1920,F,June,2502,0.002011193
1920,F,April,1343,0.000304653
1920,F,May,14443,0.000280538
1920,F,August,4322,6.59E-05
1920,F,July,13434,3.46E-05
1921,F,february,39083,0.030541205
1921,F,January,34819,0.027209125
1921,F,March,17637,0.013782341
1921,F,June,3382,0.002642846
1921,F,April,392,0.000306326
1921,F,May,367,0.00028679
1921,F,August,4311,7.35E-05
1921,F,July,3434,3.75E-05
1922,F,february,37711,0.030228507
1922,F,January,32507,0.026057068
1922,F,March,20893,0.01674748
1922,F,June,3902,0.003127778
1922,F,May,124234,0.000292578
1922,F,April,344,0.00027334
1922,F,August,1143,5.69E-05
1922,F,July,3134,3.21E-05
1923,F,february,39045,0.031175744
1923,F,January,31492,0.025145
1923,F,March,25990,0.020751891
1923,F,June,4800,0.003832592
1923,F,May,3434,0.000337747
1923,F,April,3411,0.000289041
1923,F,August,242,9.42E-05
1923,F,July,4111,4.15E-05
1924,F,february,39996,0.030867875
1924,F,January,31193,0.024073948
1924,F,March,30602,0.02361783
1924,F,June,6958,0.005370004
1924,F,May,3442,0.000350385
1924,F,April,886,0.000263175
1924,F,August,76786,9.65E-05
1924,F,July,76868,3.16E-05
1925,F,february,38572,0.030538872
1925,F,March,32817,0.025982427
1925,F,January,29168,0.023093379
1925,F,June,8095,0.006409109
1925,F,May,7686,0.000346781
1925,F,April,7787,0.000245438
1925,F,August,7888,6.49E-05
1925,F,July,67868,2.69E-05
